	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
1.47823	0.812624	0.441014	0.171808	0.119535	0.0599937	0.0846672	-0.013786	0.19046	0.15654	0.0401732	0.0115535	0.0281441	0.0919015	0.0567932	0.161371	0.11693	0.11797	0.123836	0.419152	0.110186	
1.47848	0.846141	0.453841	0.174846	0.119471	0.0615158	0.0836411	-0.00969124	0.216614	0.184158	0.0363392	0.00278074	0.0351098	0.0930934	0.0643463	0.154856	0.122445	0.116291	0.115125	0.404378	0.103959	
1.47872	0.880167	0.466668	0.175195	0.122135	0.0630264	0.0829124	-0.00531083	0.245377	0.208771	0.0325051	0.00327617	0.0420756	0.0942734	0.071907	0.14833	0.127949	0.114613	0.106414	0.389071	0.0977326	
1.47896	0.914194	0.479495	0.175543	0.124811	0.0645447	0.0821953	-0.000930429	0.269501	0.238174	0.0286711	0.00378367	0.0490533	0.0954653	0.0794601	0.141816	0.133464	0.112934	0.0977037	0.373764	0.0915057	
1.47921	0.955763	0.485141	0.177984	0.124734	0.0639076	0.0811577	0.00572354	0.283829	0.271851	0.0248252	0.0152994	0.0531267	0.0915475	0.0835571	0.148037	0.141536	0.111256	0.0954838	0.349484	0.090715	
1.47945	1.00548	0.490788	0.180424	0.124671	0.063282	0.0850525	0.0123894	0.293503	0.300766	0.0209912	0.0268272	0.0572121	0.0876414	0.0876465	0.154271	0.149619	0.109577	0.0932638	0.325215	0.0899353	
1.47969	1.05582	0.496435	0.182864	0.124595	0.0598793	0.0861778	0.0190553	0.293884	0.316284	0.0171572	0.0383551	0.0612855	0.0927866	0.0923157	0.160504	0.166498	0.107903	0.0910438	0.296687	0.0891555	
1.47994	1.10615	0.502082	0.185305	0.124532	0.0614014	0.087307	0.0257212	0.286499	0.320633	0.0133231	0.0498828	0.0653709	0.0979434	0.0969925	0.166737	0.183387	0.106236	0.0888351	0.268159	0.0883758	
1.48018	1.15632	0.513351	0.182802	0.125521	0.0734444	0.0871391	0.0281376	0.27301	0.318863	0.00785789	0.0525292	0.0708905	0.106865	0.0977173	0.177879	0.204898	0.104698	0.0870208	0.248094	0.095009	
1.48042	1.21139	0.524632	0.180312	0.126523	0.0854988	0.0869865	0.0305659	0.25177	0.312317	0.00240453	0.0551876	0.0764101	0.115798	0.107681	0.189033	0.226419	0.103157	0.0852066	0.22804	0.101653	
