	1\nnew_experiment\n	2\nnew_experiment\n	3\nnew_experiment\n	4\nnew_experiment\n	5\nnew_experiment\n	6\nnew_experiment\n	7\nnew_experiment\n	8\nnew_experiment\n	9\nnew_experiment\n	10\nnew_experiment\n	11\nnew_experiment\n	12\nnew_experiment\n	13\nnew_experiment\n	14\nnew_experiment\n	15\nnew_experiment\n	16\nnew_experiment\n	17\nnew_experiment\n	18\nnew_experiment\n	19\nnew_experiment\n	20\nnew_experiment\n	
3.65119	0.592233	0.258858	0.057137	0.171963	0.0600471	-0.00429916	0.194356	0.12326	0.202484	-0.00435857	0.165487	0.0482579	0.0201418	0.084877	0.0181378	0.0429503	-0.00722504	0.115644	-0.0215708	0.0243938	
3.65143	0.618858	0.257075	0.0664875	0.174309	0.0565681	0.00347519	0.194094	0.107895	0.194641	-0.00971667	0.164448	0.0393519	0.0244373	0.086853	0.0138731	0.0453467	-0.00461578	0.104893	-0.02207	0.016849	
3.65167	0.645496	0.255305	0.0710693	0.176668	0.053093	0.011261	0.193832	0.100296	0.186798	-0.0150748	0.158769	0.0304459	0.0332759	0.0888367	0.00962002	0.0477546	-0.00200653	0.094154	-0.0225691	0.00930429	
3.65192	0.677319	0.252725	0.0722771	0.184087	0.0534363	0.0107384	0.192082	0.0936584	0.176468	-0.0152058	0.156847	0.0224438	0.0413004	0.0938873	0.0108854	0.0494172	0.00683975	0.0871448	-0.0303999	0.00741535	
3.65216	0.718926	0.250157	0.0734848	0.191506	0.0537949	0.0102119	0.190344	0.0870209	0.166138	-0.0153248	0.154938	0.0144537	0.0493366	0.0989456	0.0166498	0.0510797	0.0156937	0.0801356	-0.0382197	0.00975455	
3.6524	0.762061	0.247577	0.0743937	0.198925	0.0541534	0.00968552	0.186321	0.0808563	0.155777	-0.0154439	0.152739	0.0141645	0.0500918	0.103996	0.0196024	0.0527423	0.0244102	0.067537	-0.0439209	0.0155202	
3.65265	0.810101	0.245009	0.075315	0.206344	0.054512	0.00917435	0.186869	0.074707	0.145432	-0.015563	0.15054	0.0138873	0.0508589	0.109062	0.0225666	0.0544049	0.0331268	0.0506112	-0.0453517	0.025503	
3.65289	0.860065	0.246417	0.077718	0.216199	0.0597649	0.0127487	0.191606	0.0738831	0.137665	-0.00729959	0.145718	0.0179366	0.050198	0.115273	0.0170834	0.053866	0.0430908	0.0360294	-0.0448415	0.0349476	
3.65313	0.910041	0.247838	0.080121	0.226053	0.065033	0.0163231	0.200915	0.0730591	0.129929	0.000963792	0.140909	0.0219979	0.049549	0.121498	0.00711271	0.0533271	0.050827	0.0315444	-0.0400609	0.0401861	
3.65338	0.972133	0.249247	0.082524	0.235754	0.0702972	0.0198975	0.217079	0.0722351	0.131775	0.00922717	0.13349	0.0214315	0.0534196	0.118462	-0.000338919	0.0527882	0.0532494	0.0355335	-0.0305774	0.0379567	
3.65362	1.04402	0.250668	0.0849395	0.245469	0.0755653	0.0234833	0.233244	0.0714111	0.133621	0.0174906	0.13071	0.0208651	0.057302	0.11544	-0.00777882	0.0522607	0.0512009	0.039534	-0.0210939	0.0286988	
3.65386	1.13015	0.252663	0.0783281	0.251759	0.0802841	0.0240326	0.250421	0.0826874	0.134033	0.0195028	0.130408	0.020841	0.0584585	0.116669	-0.0125474	0.0492796	0.0470505	0.0406721	-0.0150821	0.0219557	
3.65411	1.2326	0.254669	0.0717168	0.255627	0.0849991	0.0245819	0.267609	0.0939636	0.134399	0.021527	0.130106	0.0208168	0.0596268	0.117912	-0.0173043	0.0463098	0.0406647	0.0418215	-0.0133185	0.0152127	
3.65435	1.35869	0.256676	0.0654043	0.26207	0.0897179	0.0239029	0.284512	0.10524	0.134781	0.0235393	0.130094	0.0315908	0.060795	0.119148	-0.0195421	0.0433287	0.0310631	0.0343052	-0.0191084	0.0060975	
3.65459	1.50762	0.258683	0.0590918	0.26609	0.0944481	0.0256844	0.301415	0.116531	0.135178	0.0255634	0.130082	0.0423648	0.0619633	0.120392	-0.0262673	0.0403589	0.0214729	0.0268002	-0.0248873	0.00121044	
3.65484	1.68751	0.255305	0.0588552	0.264061	0.0967102	0.0317688	0.31965	0.134888	0.148453	0.03291	0.12949	0.0528495	0.0652085	0.116997	-0.0304735	0.0410469	0.0137367	0.0250535	-0.0294349	0.00421955	
3.65508	1.90981	0.251927	0.0633997	0.25961	0.0989876	0.0403137	0.333315	0.153244	0.161713	0.0402684	0.128898	0.0633343	0.0684536	0.113617	-0.0346679	0.0417463	0.0104866	0.0233181	-0.0339715	0.0142572	
